,index,client_id,english,birth_last_year,apartment,nb_children,age,income,household_income,visit the store_last_year,premium_membership,credit_card,web_search,nb_web_search,membership_competitors,won_prize,required_financing,cash_transaction,nb_product_purchased,customer_since_when,volume_credit_card,prize_amount,volume_financing,volume_transaction,nb_electronics,interest_rate,GDP,education_cat,city_cat,job_title_cat,home_revenue_group,revenue_group,age_group
0,282,00021208,1,0,0,2.0,58.0,66000,105000,0,0,1,1.0,17.0,0,0,0,1,1,1.4545454545454546,14345.185185185184,1.5100194931773878,0.0,2250.0,1,2.371240364467102,1.0554360240617808,undergradute,Berkeley,professional,"[100k, 150k]","[60k, 100k]","[50, 60]"
1,15441,00920255,1,0,0,0.0,87.0,28000,76000,0,0,0,1.0,18.0,0,1,0,1,2,15.272727272727273,0.0,0.0,0.0,2390.0,0,2.390934231824555,0.5200097652656641,high_school,Redwood,manager,"[60k, 100k]",[60k and less],70+
2,3400,00453670,0,1,0,1.0,52.0,75000,208000,0,0,1,0.0,0.0,1,0,1,1,3,9.454545454545455,18595.925925925923,1.957465886939571,21228.260865652177,1200.0,0,2.2949274878942965,-0.3216812368446633,high_school,Sacramento,manager,"[200k, 250k]","[60k, 100k]","[50, 60]"
3,7261,00743737,0,1,0,4.0,39.0,76000,108000,0,1,0,1.0,3.0,0,0,0,1,1,16.727272727272727,0.0,0.0,0.0,500.0,1,3.104499478387492,1.2151192785883633,college,Berkeley,manager,"[100k, 150k]","[60k, 100k]","[30, 40]"
4,12793,00883697,1,0,0,0.0,62.0,76000,108000,0,1,0,0.0,0.0,1,1,0,1,2,8.0,0.0,0.0,0.0,2120.0,0,3.2024281603155633,-0.2166207553927837,college,Redwood,blue collar,"[100k, 150k]","[60k, 100k]","[60, 70]"
5,13125,00887975,1,0,0,0.0,35.0,39000,39000,0,0,0,0.0,0.0,0,0,0,1,1,3.6363636363636362,0.0,0.0,0.0,2430.0,1,3.5929535933175245,0.571003834852888,high_school,San Francisco,professional,[60k and less],[60k and less],"[30, 40]"
6,10331,00837067,1,0,0,0.0,20.0,24000,122000,0,0,0,1.0,45.0,1,1,1,1,3,5.090909090909091,0.0,0.0,24652.17391304348,670.0,0,2.73751835476417,-0.5545120362564524,undergradute,San Francisco,professional,"[100k, 150k]",[60k and less],"[18, 30]"
7,4686,00583021,1,0,0,1.0,62.0,41000,98000,0,0,1,0.0,0.0,0,0,1,1,2,5.818181818181818,21739.259259259255,2.288343079922027,38201.08696043478,2010.0,0,2.721151340992883,-0.17390491537094577,college,Berkeley,blue collar,"[60k, 100k]",[60k and less],"[60, 70]"
8,5009,00610841,1,0,1,0.0,75.0,75000,196000,0,0,1,0.0,0.0,1,0,0,1,1,12.363636363636363,14626.296296296296,1.5396101364522417,0.0,3830.0,1,2.6948852767054174,1.1582968486069807,doctorate_degree,Sacramento,professional,"[150k, 200k]","[60k, 100k]",70+
9,16319,00929775,1,0,1,0.0,31.0,63000,107000,0,1,1,0.0,0.0,1,0,0,1,3,0.0,16099.999999999998,1.6947368421052629,0.0,100.0,0,3.1858822102212705,-0.9500035417418015,high_school,Redwood,blue collar,"[100k, 150k]","[60k, 100k]","[30, 40]"
10,1706,00149587,1,0,0,0.0,84.0,48000,175000,0,0,0,1.0,39.0,0,0,0,1,2,13.818181818181818,0.0,0.0,0.0,970.0,0,3.4389481202796848,2.340279950615745,master_degree,Sacramento,professional,"[150k, 200k]",[60k and less],70+
11,22448,00987725,1,0,1,2.0,49.0,62000,186000,0,0,0,0.0,0.0,1,1,0,1,2,4.363636363636364,0.0,0.0,0.0,3120.0,0,2.418278748384005,0.5159450194499959,high_school,Oakland,blue collar,"[150k, 200k]","[60k, 100k]","[40, 50]"
12,6826,00725845,1,0,1,1.0,57.0,94000,94000,0,0,0,0.0,0.0,0,0,0,1,1,3.6363636363636362,0.0,0.0,0.0,100.0,1,3.1018273223571016,1.0323465799939462,college,Redwood,professional,"[60k, 100k]","[60k, 100k]","[50, 60]"
13,683,00050990,1,0,0,0.0,29.0,73000,204000,0,0,0,0.0,0.0,1,0,0,1,1,11.636363636363637,0.0,0.0,0.0,4020.0,1,2.6852837122823012,1.7989863553724683,college,Sacramento,unemployed,"[200k, 250k]","[60k, 100k]","[18, 30]"
14,4088,00526237,1,0,1,0.0,60.0,56000,138000,0,0,0,0.0,0.0,0,0,1,1,2,8.727272727272728,0.0,0.0,17364.130438695654,2470.0,0,2.7505110785278726,0.07412358966640231,high_school,Berkeley,professional,"[100k, 150k]","[60k, 100k]","[60, 70]"
15,11318,00858416,1,1,1,2.0,33.0,67000,165000,0,1,1,0.0,0.0,0,0,0,1,1,9.454545454545455,13305.925925925925,1.400623781676413,0.0,730.0,1,2.5233277088360415,1.234969432463561,doctorate_degree,Berkeley,manager,"[150k, 200k]","[60k, 100k]","[30, 40]"
16,4005,00517665,0,0,0,0.0,44.0,35000,61000,0,1,1,0.0,0.0,0,0,0,1,1,8.727272727272728,13800.0,1.4526315789473685,0.0,1080.0,1,2.8002596425492383,0.8042728161592393,doctorate_degree,Berkeley,manager,"[60k, 100k]",[60k and less],"[40, 50]"
17,22113,00984707,0,0,1,0.0,50.0,47000,101000,0,1,1,0.0,0.0,1,0,1,1,2,7.2727272727272725,20964.07407407407,2.206744639376218,28173.913043478267,2340.0,0,2.7054198169850996,-1.5170779556497151,college,Berkeley,blue collar,"[100k, 150k]",[60k and less],"[50, 60]"
18,7585,00756982,0,0,1,4.0,54.0,71000,96000,0,0,0,0.0,0.0,0,1,0,1,2,5.090909090909091,0.0,0.0,0.0,100.0,0,2.82944786179374,0.09043717307464649,undergradute,San Francisco,blue collar,"[60k, 100k]","[60k, 100k]","[50, 60]"
19,17794,00945786,0,1,0,5.0,60.0,86000,152000,0,1,0,0.0,0.0,0,0,0,1,1,6.545454545454546,0.0,0.0,0.0,2050.0,1,2.8432015224999008,2.147847610294583,college,Oakland,manager,"[150k, 200k]","[60k, 100k]","[60, 70]"
20,17265,00940204,0,0,0,5.0,37.0,64000,64000,0,1,1,0.0,0.0,1,1,0,1,2,1.4545454545454546,21074.81481481481,2.2184015594541906,0.0,1360.0,0,2.385688046333465,0.45662687406474706,college,San Francisco,manager,"[60k, 100k]","[60k, 100k]","[30, 40]"
21,5942,00678211,0,0,0,0.0,51.0,72000,137000,1,0,0,0.0,0.0,0,1,0,1,2,10.181818181818182,0.0,0.0,0.0,2130.0,0,3.0135412959529417,0.3908962929657127,doctorate_degree,San Francisco,blue collar,"[100k, 150k]","[60k, 100k]","[50, 60]"
22,18672,00955107,1,0,0,0.0,19.0,74000,95000,0,1,1,0.0,0.0,0,1,1,1,3,5.818181818181818,20044.07407407407,2.10990253411306,24407.608699565222,3450.0,0,2.6456592162047987,0.8299486598166992,master_degree,Sacramento,manager,"[60k, 100k]","[60k, 100k]","[18, 30]"
23,16599,00933292,0,0,0,2.0,80.0,110000,141000,0,0,0,0.0,0.0,0,0,0,1,2,6.545454545454546,0.0,0.0,0.0,3160.0,0,2.3602822243845254,-2.2272467586362326,high_school,Redwood,manager,"[100k, 150k]","[100k, 150k]",70+
24,13192,00889044,1,0,1,0.0,72.0,58000,126000,0,1,0,0.0,0.0,0,0,0,1,1,1.4545454545454546,0.0,0.0,0.0,170.0,1,2.9057783779135793,2.3101615113095857,doctorate_degree,San Francisco,manager,"[100k, 150k]","[60k, 100k]",70+
25,2141,00298119,0,0,0,0.0,21.0,64000,99000,1,0,1,0.0,0.0,0,0,0,1,1,10.90909090909091,20785.185185185182,2.187914230019493,0.0,420.0,1,3.3963302402828295,0.8197818854519134,master_degree,San Francisco,blue collar,"[60k, 100k]","[60k, 100k]","[18, 30]"
26,600,00045638,0,0,0,0.0,31.0,81000,81000,0,1,0,1.0,45.0,0,0,0,1,3,8.0,0.0,0.0,0.0,900.0,0,4.674922476149034,0.49382024290321663,high_school,San Francisco,blue collar,"[60k, 100k]","[60k, 100k]","[30, 40]"
27,8246,00779852,1,1,1,4.0,65.0,90000,90000,0,1,1,0.0,0.0,0,0,0,0,3,1.4545454545454546,15205.555555555555,1.6005847953216374,0.0,0.0,0,2.8347480376992285,-0.8110007696113569,undergradute,Oakland,manager,"[60k, 100k]","[60k, 100k]","[60, 70]"
28,21491,00980335,1,1,0,4.0,31.0,54000,156000,0,1,1,0.0,0.0,1,0,1,1,2,13.090909090909092,18493.7037037037,1.9467056530214422,13793.478260869566,2840.0,0,2.969479454392701,1.0003851094127199,master_degree,Berkeley,blue collar,"[150k, 200k]","[60k, 100k]","[30, 40]"
29,17136,00938691,0,0,0,0.0,39.0,44000,135000,0,0,0,0.0,0.0,0,1,0,1,2,2.181818181818182,0.0,0.0,0.0,2150.0,0,3.6489439917026747,0.8347096741104421,undergradute,Berkeley,professional,"[100k, 150k]",[60k and less],"[30, 40]"
30,5015,00611261,1,0,0,0.0,56.0,71000,249000,0,1,0,1.0,32.0,0,0,0,1,1,5.818181818181818,0.0,0.0,0.0,1320.0,1,2.642246938297105,-1.0155834805110315,high_school,San Francisco,manager,"[200k, 250k]","[60k, 100k]","[50, 60]"
31,20779,00974908,0,0,0,0.0,46.0,65000,169000,0,0,0,0.0,0.0,0,0,1,1,2,6.545454545454546,0.0,0.0,22989.13043086957,2470.0,0,2.3990790495142473,1.0229667881008053,college,Sacramento,blue collar,"[150k, 200k]","[60k, 100k]","[40, 50]"
32,6385,00703527,1,0,1,0.0,71.0,47000,161000,0,0,0,0.0,0.0,0,0,0,1,1,10.181818181818182,0.0,0.0,0.0,2730.0,1,3.244750453074432,1.3658432095906856,master_degree,Sacramento,retired,"[150k, 200k]",[60k and less],70+
33,21076,00977543,1,0,1,0.0,44.0,43000,43000,0,0,1,1.0,3.0,0,1,0,1,2,4.363636363636364,17957.037037037033,1.8902144249512667,0.0,100.0,0,2.5304658902776245,0.7916221074996721,doctorate_degree,San Francisco,unemployed,[60k and less],[60k and less],"[40, 50]"
34,14094,00902755,1,0,0,0.0,49.0,66000,112000,0,0,1,1.0,38.0,0,1,0,1,3,10.90909090909091,22667.777777777774,2.386081871345029,0.0,1600.0,0,2.6619893411527564,1.1434349214925117,undergradute,Sacramento,professional,"[100k, 150k]","[60k, 100k]","[40, 50]"
35,436,00034785,0,0,0,0.0,52.0,34000,105000,0,0,0,0.0,0.0,0,0,0,1,5,9.454545454545455,0.0,0.0,0.0,3100.0,0,2.5592636889826594,2.0564376208771717,high_school,Sacramento,white collar,"[100k, 150k]",[60k and less],"[50, 60]"
36,15210,00917801,1,0,1,0.0,48.0,32000,32000,0,0,0,0.0,0.0,1,1,0,0,1,8.0,0.0,0.0,0.0,0.0,1,2.729365343313907,-0.7243473801696829,doctorate_degree,Oakland,unemployed,[60k and less],[60k and less],"[40, 50]"
37,13854,00899068,0,0,1,0.0,50.0,21000,102000,0,0,0,1.0,28.0,0,0,1,1,4,9.454545454545455,0.0,0.0,29347.826086956527,1690.0,0,2.5136941724724466,-0.44632714324993195,high_school,Redwood,manager,"[100k, 150k]",[60k and less],"[50, 60]"
38,14870,00912952,1,1,1,2.0,54.0,56000,144000,0,0,0,0.0,0.0,0,0,0,1,1,9.454545454545455,0.0,0.0,0.0,4070.0,1,2.8360420553716974,0.13041552232759368,master_degree,San Francisco,blue collar,"[100k, 150k]","[60k, 100k]","[50, 60]"
39,2720,00373740,1,0,0,0.0,59.0,52000,52000,0,0,0,0.0,0.0,0,0,0,1,1,10.90909090909091,0.0,0.0,0.0,2280.0,1,2.608589244982454,0.8317191787813012,doctorate_degree,Berkeley,blue collar,"[60k, 100k]","[60k, 100k]","[50, 60]"
